ID,Timestamp,Attendance,EventID,StudentID
1,2024-08-08 01:36:26.197882,False,102,215
2,2024-06-17 23:44:47.979737,True,593,318
3,2024-09-17 10:48:39.831830,False,528,640
4,2024-11-02 06:30:04.747949,False,230,759
5,2024-05-24 01:48:30.596447,False,481,600
6,2024-07-30 07:50:36.980417,False,140,783
7,2024-05-30 05:58:45.939092,True,957,999
8,2024-04-05 00:04:21.606511,True,709,502
9,2024-01-24 00:06:28.296330,False,744,98
10,2024-07-25 16:12:46.834560,False,386,802
11,2024-09-12 00:54:30.709378,True,936,520
12,2024-03-29 13:23:59.702258,False,884,208
13,2024-10-29 19:42:11.898146,True,360,437
14,2024-10-10 09:23:02.854529,False,146,657
15,2024-05-30 12:04:43.993121,False,436,395
16,2024-01-17 10:42:30.868287,False,169,130
17,2024-11-15 02:52:48.894235,False,583,320
18,2024-09-22 04:26:38.310042,False,72,331
19,2024-10-12 14:11:37.686974,True,718,58
20,2024-05-07 00:57:41.018791,True,517,400
21,2024-01-25 18:48:39.181862,False,163,535
22,2024-04-05 13:05:39.254804,True,909,634
23,2024-11-07 06:43:01.902447,True,795,485
24,2024-11-25 21:34:19.395157,False,77,825
25,2024-02-04 20:23:01.782188,False,204,890
26,2024-01-05 00:48:52.727906,True,140,281
27,2024-01-21 05:52:56.073481,False,251,164
28,2024-03-09 06:02:23.053769,False,971,515
29,2024-01-30 00:26:13.989037,False,160,389
30,2024-06-23 12:56:12.248794,True,832,364
31,2024-08-25 12:16:02.759546,False,377,729
32,2024-04-25 04:41:18.003783,True,309,989
33,2024-11-05 04:57:35.178485,False,752,52
34,2024-01-09 22:27:15.362463,True,685,589
35,2024-05-15 21:48:40.953668,True,224,994
36,2024-04-18 07:12:43.280400,True,332,577
37,2024-10-23 22:13:40.912725,True,782,706
38,2024-02-18 15:53:26.649679,False,848,367
39,2024-04-20 13:56:32.318623,False,391,327
40,2024-07-18 20:40:34.588513,False,109,707
41,2024-04-26 08:59:07.667553,False,4,362
42,2024-10-15 08:19:21.226237,True,491,251
43,2024-08-22 09:32:40.775426,False,66,755
44,2024-05-01 08:12:01.877078,False,468,684
45,2024-08-21 19:57:24.966724,True,811,170
46,2024-03-27 18:18:51.894245,True,242,648
47,2024-04-25 13:15:50.908753,True,115,829
48,2024-04-17 06:45:42.508301,True,810,882
49,2024-03-15 14:16:43.211865,True,302,32
50,2024-05-31 21:12:02.325473,True,353,923
51,2024-01-01 04:40:21.012074,False,212,650
52,2024-02-04 11:26:40.023812,False,58,909
53,2024-06-25 05:05:12.196891,True,672,548
54,2024-10-06 02:42:59.464872,False,640,890
55,2024-06-19 04:41:55.755240,False,6,227
56,2024-03-21 17:13:21.218904,True,869,720
57,2024-04-10 18:19:36.234867,True,37,657
58,2024-11-01 01:26:01.930794,False,604,795
59,2024-04-07 17:34:11.972313,True,352,771
60,2024-03-09 12:08:10.045607,True,459,77
61,2024-11-19 08:47:32.547337,True,555,307
62,2024-08-09 09:46:57.028343,False,520,618
63,2024-10-08 16:46:26.005351,True,645,507
64,2024-04-05 20:33:50.744029,True,517,452
65,2024-04-30 13:13:32.216636,True,604,688
66,2024-09-09 12:26:14.537714,False,698,273
67,2024-09-22 07:52:44.291252,False,828,552
68,2024-08-01 12:58:49.098811,False,876,411
69,2024-01-12 19:47:52.372779,True,119,609
70,2024-04-25 18:29:02.733625,True,516,816
71,2024-07-25 20:31:22.346529,False,546,481
72,2024-11-09 07:34:52.686045,True,989,570
73,2024-02-05 14:37:39.646867,False,384,604
74,2024-03-28 01:09:13.400668,True,388,128
75,2024-07-20 20:04:50.862262,False,668,718
76,2024-01-20 09:48:08.948496,True,334,44
77,2024-11-16 02:18:09.673149,True,661,736
78,2024-11-04 05:17:44.363014,False,623,913
79,2024-08-28 21:30:28.730812,False,659,929
80,2024-03-02 21:36:59.464343,True,22,519
81,2024-11-29 13:33:10.356741,False,757,684
82,2024-04-19 13:34:20.052021,False,762,317
83,2024-11-21 05:15:31.290159,False,440,328
84,2024-09-23 18:04:35.671711,True,735,997
85,2024-11-13 01:08:07.495445,True,148,249
86,2024-03-22 16:57:09.776044,False,957,742
87,2024-11-09 22:57:20.865899,False,118,728
88,2024-06-24 00:16:39.124588,True,161,317
89,2024-02-29 21:15:02.000444,True,190,530
90,2024-08-17 05:42:42.951180,False,366,392
91,2024-07-08 00:03:08.048916,False,688,974
92,2024-05-27 20:22:42.991608,True,163,658
93,2024-06-18 20:12:41.030044,False,304,406
94,2024-06-13 21:04:53.733620,False,663,187
95,2024-05-21 19:38:17.777872,True,512,318
96,2024-06-28 06:56:15.849457,True,280,782
97,2024-01-15 09:52:50.467942,False,592,256
98,2024-08-01 21:31:14.468773,True,623,338
99,2024-09-06 03:20:12.428993,True,40,256
100,2024-03-25 21:55:44.111741,False,381,235
101,2024-05-22 14:26:55.990424,False,59,347
102,2024-04-18 21:14:03.275651,True,626,11
103,2024-02-12 17:16:43.709215,True,571,687
104,2024-10-23 18:03:31.151804,False,394,508
105,2024-03-02 13:21:32.830617,True,56,478
106,2024-07-15 21:29:06.494245,False,530,371
107,2024-03-24 10:02:48.443239,False,10,578
108,2024-05-06 16:25:38.117800,True,87,188
109,2024-08-27 08:59:57.852243,False,695,434
110,2024-06-30 11:42:33.518677,False,728,943
111,2024-08-06 08:25:40.708399,False,886,652
112,2024-05-29 03:24:02.336461,False,104,779
113,2024-04-16 12:43:20.078609,False,802,786
114,2024-06-04 17:07:55.516175,False,152,702
115,2024-11-23 19:08:52.422758,True,64,613
116,2024-06-17 18:15:04.611115,False,14,612
117,2024-09-16 22:28:42.671698,True,365,11
118,2024-04-17 11:50:41.214825,False,546,420
119,2024-05-03 12:24:34.522745,True,939,713
120,2024-03-15 03:45:33.525424,True,508,869
121,2024-08-29 19:00:30.203632,False,396,705
122,2024-11-12 12:19:32.196849,True,1,155
123,2024-10-12 11:18:28.449075,True,252,836
124,2024-02-17 00:02:13.381250,False,633,289
125,2024-10-06 21:09:29.181875,False,814,966
126,2024-06-08 20:03:58.295112,True,535,691
